e971773f,人人优品是一个共享电商平台，通过跟厂商源头、品牌方合做，去掉中间环节增大利润空间，把中间环节省下来的利润分给消费者，达到买家、卖家、平台三者同时获利，这个相较于没有产品纯粹依靠人员吸纳形成空转获利的传销诈骗行为来说，是有本质区别的。1,优品;人人优品
a408f408,1,
07e60597,重磅中国平安旗下陆金所将退出业务转向腾讯证券7月18日讯，据路透社报道，三位知情人士表示，中国最大在线财富管理平台之一的陆金所计划退出业务，而业务曾是陆金所的核心业务。其中两位知情人士表示，陆金所退出业务是由于监管障碍所致。这些知情人士表示，他们并不知晓陆金所何时将关闭业务，但称该公司已经开始申请的牌照了。陆金所放弃业务，并重点转向可能会使得其上市计划更加顺利。陆金所，全称为上海陆家嘴国际金融资产交易市场股份有限公司，由于2011年以平台的形式成立。两位消息人士称，自2016年以来，陆金所一直难以满足贷款机构向地方政府注册的要求，因而导致其放弃业务。一位消息人士表示，陆金所业务的员工将会被并入一个专注于的新部门。拒绝评论，陆金所也未立即对此置评。2018年年底时，陆金所资产负债表上的未偿还贷款达到了3750亿元，同比上升30。在2018年12月，陆金所在一轮融资中筹集了13.3亿美元的资金，估值达到了380亿美元。1,陆金所;中国平安
6fb21243,据火币官方文件显示，8月27日，李林亲自签发了关于辞退某部门管理者内部通报，经查，在该部门经手的部分渠道供应商联合欺诈渠道推广费用过程中，上述管理者负有付款审批责任而被辞退，而具体当事人也被辞退。1,有付;火币
e476b099,#全民保支付宝#之前听说买什么都别买保险，现在发现支付宝合作的也不例外。3.17被支付宝全民保的体验金活动忽悠，以为是基金呢，随手投了2200元，毕竟支付宝从来没坑过我。好不容易找到了...全文：#全民保支付宝#之前听说买什么都别买保险，现在发现支付宝合作的也不例外。买保险，现在发现支付宝合作的也不例外。3.17被支付宝全民保的体验金活动忽悠，以为是基金呢，随手投了2200元，毕竟支付宝从来没坑过我。好不容易找到了...全文：#全民保支付宝#之前听说买什么都别买保险，现在发现支付宝合作的也不例外。1,支付宝;蚂蚁金服;随手投;全民保
a7e84ca3,为加强对网贷行业严重失信行为的约束与惩戒，保护出借者的合法利益，中业兴融根据监管要求，对逾期时间超过6个月，经合法、必要的催收，且未按要求如实提交财产申报资料情形的借款人，列入严重失信网贷借款人名单，并进行失信公示。1,信网贷;中业兴融
92b3ea38,跑路、良性退出、停业、提现困难.....据ok贷了解，这是我国平台自备案延期后目前的大环境。1,ok贷;k贷
46112653,红岭创投年内清盘线上债权资产红岭创投创始人周世平在公司官网红岭社区专栏发布虽然是清盘，但不是说再见的帖子。根据帖子内容，红岭创投2021年12月底清盘平台线上债权资产，未到期部分债权由红岭控股全额收购。红岭创投年内清盘线上债权资产红岭创投创始人周世平在公司官网红岭社区专栏发布虽然是清盘，但不是说再见的帖子。1,红岭创投;红岭控股
26d6afb6,运营10年的元老、广东最大网贷平台红岭创投，3月23日宣布清盘。红岭创投2021年12月底清盘平台线上债权资产，未到期部分债权由红岭控股全额收购。1,红岭创投;红岭控股
3312f40a,1,
